date,person,translation,.polarity,p/n,Place
Fri Apr 30 15:51:36 +0000 2021,l9ivr,بسلك طريق دبي لو مزحومي علـيـك شـوقي شاغل الخطين,0.0,0.0,Dubai
Fri Apr 30 15:51:45 +0000 2021,sidhu_sialkoti,چوئی منظور صاحب تسی آخری بار الیکش کب جیتے؟,0.0,0.0,Sharjah
Fri Apr 30 15:51:50 +0000 2021,Aaaazaaam,در اینکه پسرا هم میتونه آشپزاشون خوب باشه شکی نیست ولی داداشم ماکارانی پخته انقد مامان قربون صدقش رفته، جالبش اینه… https://t.co/BgaYhg0d08,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:51:51 +0000 2021,Ahmed89894402,@BX0gZB6Sh1VXWQ1 تعاله,0.0,0.0,دبي
Fri Apr 30 15:51:54 +0000 2021,l9ivr,بسلك طريق دبي لو مزحومي علـيـك شـوقي شاغل الخطين,0.0,0.0,Dubai
Fri Apr 30 15:51:55 +0000 2021,ll_67ll,اذكروا والديكم ، و المرضى ، والموتى بدعوه .,0.0,0.0,Abu Dhabi
Fri Apr 30 15:52:00 +0000 2021,j__shj,@qjliili @Kuwaity__7r 😂😂😂😂 ولا فاهمين معناتها بس يرددونها دوم وفالحين بسب وتفليع بالنعل والناس صيام !,0.0,0.0,أبوظبي
Fri Apr 30 15:52:05 +0000 2021,ll_67ll,اذكروني بدعوة في ظهر الغيب 💗.,0.0,0.0,Abu Dhabi
Fri Apr 30 15:52:07 +0000 2021,lf9595,من میخوابم پا میشم چرا کره میکنم!!!!,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:52:09 +0000 2021,g_d_dave,Blaqbonez new shit fire 🔥,-0.03181818181818183,0.6272727272727273,Dubai
Fri Apr 30 15:52:15 +0000 2021,newbieee20,@rhyansantos10 Meet haha,0.2,0.3,Dubai
Fri Apr 30 15:52:19 +0000 2021,ll_67ll,﴿وما كان ربك نسيا﴾ 💗.,0.0,0.0,Abu Dhabi
Fri Apr 30 15:52:20 +0000 2021,rania_uae,@WolvesHunter7 @Mohamed80556552 @khalidalfagri @M__albugaily مفيش نساء وشياب بيحاربوا فى مقاتلين وجنود يبقي بقي متن… https://t.co/25txnIluZd,0.0,0.0,عجمان
Fri Apr 30 15:52:20 +0000 2021,g_d_dave,Runtown came with flames 🔥,0.0,0.0,Dubai
Fri Apr 30 15:52:29 +0000 2021,majidyadollahz1,@foufooll 😑😐,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:52:47 +0000 2021,brunogk1_,https://t.co/w0dea8lPmu,0.0,0.0,الدوحة
Fri Apr 30 15:52:49 +0000 2021,HamedAlBalushi_,قلوبنا مليئة برسائل لم تُكتبولو كُتبت ،، لن تُرسلوان ارسلت ،، فلن تصل ✉💌 https://t.co/cqOJLB288s,0.0,0.0,الامارات العربية المتحدة
Fri Apr 30 15:52:51 +0000 2021,QatarExpat2021,@mikslmnc @miwoforevs bumubulong na naman 🙊,0.0,0.0,Doha
Fri Apr 30 15:52:54 +0000 2021,ll_67ll,اللهم اجبر خواطرنا جبراً يليقُ بعظمتك,0.0,0.0,Abu Dhabi
Fri Apr 30 15:53:11 +0000 2021,NasrtullahWisal,@ArifullahAfg شکر الخمدالله,0.0,0.0,Abu Dhabi
Fri Apr 30 15:53:16 +0000 2021,TheRespectable_,@_zico9 @dyaz70 @RashedAAlZaabi باقي اقويرو,0.0,0.0,Dubai
Fri Apr 30 15:53:17 +0000 2021,AbAlhaj1,إستمرار. أو  استهتار,0.0,0.0,Dubai
Fri Apr 30 15:53:37 +0000 2021,lhashmii,❤️🤣 https://t.co/LWAaRnjQ89,0.0,0.0,Abu Dhabi
Fri Apr 30 15:53:40 +0000 2021,NasrtullahWisal,@shahislam01739 وآی,0.0,0.0,Abu Dhabi
Fri Apr 30 15:53:42 +0000 2021,lalehm123,@MirrajaieA گندم جمع کنید دوستان من😁😁😁😁,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:53:45 +0000 2021,metalheads_ir,و آن کجامیترا با روژ لب، مش حسن با ماله اشهردو میمالند اما این کجا و آن کجابوسه های دلبر و نقل و نبات و با قلوا… https://t.co/gx9qLGDI2s,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:53:57 +0000 2021,mrezagh6,@Shahbeyki1 دقیقا...,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:53:57 +0000 2021,Kevinds0uza,#StayStrongIndia https://t.co/R3vGDLF6Op,0.0,0.0,Dubai
Fri Apr 30 15:54:01 +0000 2021,OlaEmdin,Fall for me by Laycon is quite nice...,0.6,1.0,Dubai
Fri Apr 30 15:54:01 +0000 2021,metalheads_ir,چکمه خانم شهین و چکمه شمر لعینهردو از چرمند اما این کجا و آن کجاشکر مازندران و شکر هندوستانهردو شیرینند اما این… https://t.co/FyPIV8edOL,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:54:02 +0000 2021,MiladPourivahab,@iamtootfarangii 🙋🏻‍♂️,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:54:03 +0000 2021,MOHAMMED77X7,@_sall2000 مساء الفل,0.0,0.0,الداخلية
